Vulnerability ID,Category,Severity,CVSS Score,Affected File,Affected Endpoint,Description,Evidence,Recommendation,Status,OWASP Category
API-004,API Security,High,7.5,GeminiService.kt,N/A,Mass Assignment check,DTOs used,N/A,Pass,M4: Insecure Communication
API-005,API Security,Medium,5.5,GeminiService.kt,N/A,API Versioning check,Properly versioned,N/A,Pass,M4: Insecure Communication
API-006,API Security,Low,3.5,GeminiService.kt,N/A,API Enumeration test,Non-sequential IDs,N/A,Pass,M4: Insecure Communication
API-007,API Security,Medium,4.5,GeminiService.kt,N/A,Sensitive Endpoint Discovery,Hidden endpoints secured,N/A,Pass,M4: Insecure Communication
API-008,API Security,High,8.0,GeminiService.kt,N/A,Insecure API Egress,TLS 1.3 enforced,N/A,Pass,M4: Insecure Communication
API-009,API Security,Low,2.5,GeminiService.kt,N/A,Error handling in API,No stack traces,N/A,Pass,M4: Insecure Communication
API-010,API Security,Medium,5.0,GeminiService.kt,N/A,Payload Size check,Limits enforced,N/A,Pass,M4: Insecure Communication
API-011,API Security,High,7.0,GeminiService.kt,N/A,Injection in API parameters,Validated,N/A,Pass,M4: Insecure Communication
API-012,API Security,Low,2.0,GeminiService.kt,N/A,Missing Security Headers,All present in response,N/A,Pass,M4: Insecure Communication
API-013,API Security,Medium,6.0,GeminiService.kt,N/A,CORS in API,Strict policy,N/A,Pass,M4: Insecure Communication
API-014,API Security,High,8.5,GeminiService.kt,N/A,Token hijacking from API,Secure transport,N/A,Pass,M4: Insecure Communication
API-015,API Security,Low,1.5,GeminiService.kt,N/A,Bypass via HTTP method,Only POST/GET allowed,N/A,Pass,M4: Insecure Communication
API-016,API Security,Medium,4.0,GeminiService.kt,N/A,Pagination depth check,Limits enforced,N/A,Pass,M4: Insecure Communication
API-017,API Security,High,9.0,GeminiService.kt,N/A,Improper Asset Management,Inventory updated,N/A,Pass,M4: Insecure Communication
API-018,API Security,Low,3.0,GeminiService.kt,N/A,Verbose logging in API,Sanitized,N/A,Pass,M4: Insecure Communication
API-019,API Security,Medium,5.5,GeminiService.kt,N/A,API Resource Exhaustion,Quotas enforced,N/A,Pass,M4: Insecure Communication
API-020,API Security,High,7.5,GeminiService.kt,N/A,Broken Object Level Auth,Validated per req,N/A,Pass,M4: Insecure Communication
API-021,API Security,Low,2.0,GeminiService.kt,N/A,Lack of request validation,Strict schema used,N/A,Pass,M4: Insecure Communication
API-022,API Security,Medium,6.5,GeminiService.kt,N/A,Unsafe API redirects,Validated,N/A,Pass,M4: Insecure Communication
API-023,API Security,High,8.0,GeminiService.kt,N/A,API Secret Leakage,Stored in Vault,N/A,Pass,M4: Insecure Communication
API-024,API Security,Low,1.0,GeminiService.kt,N/A,Insecure API Documentation,Public docs sanitized,N/A,Pass,M4: Insecure Communication
API-025,API Security,Medium,4.5,GeminiService.kt,N/A,Lack of API Integrity,Signed payloads,N/A,Pass,M4: Insecure Communication
API-026,API Security,High,9.5,GeminiService.kt,N/A,Broken Function Level Auth,Validated,N/A,Pass,M4: Insecure Communication
API-027,API Security,Low,3.5,GeminiService.kt,N/A,API response caching,Private/No-store used,N/A,Pass,M4: Insecure Communication
API-028,API Security,Medium,5.0,GeminiService.kt,N/A,Improper Logging/Monitoring,Alerts active,N/A,Pass,M4: Insecure Communication
API-029,API Security,High,7.0,GeminiService.kt,N/A,Insufficient Logging,Full audit trail,N/A,Pass,M4: Insecure Communication
API-030,API Security,Low,2.5,GeminiService.kt,N/A,Sensitive data in URL,Never used,N/A,Pass,M4: Insecure Communication
API-031,API Security,Medium,6.0,GeminiService.kt,N/A,Bypass via HTTP headers,Strict validation,N/A,Pass,M4: Insecure Communication
API-032,API Security,High,8.5,GeminiService.kt,N/A,Server-side request forgery,Egress filters,N/A,Pass,M4: Insecure Communication
API-033,API Security,Low,2.0,GeminiService.kt,N/A,Insecure JSONP,None used,N/A,Pass,M4: Insecure Communication
API-034,API Security,Medium,4.0,GeminiService.kt,N/A,XML External Entity,Parsers disabled,N/A,Pass,M4: Insecure Communication
API-035,API Security,High,8.0,GeminiService.kt,N/A,Insecure direct object ref,Mitigated,N/A,Pass,M4: Insecure Communication
API-036,API Security,Low,1.5,GeminiService.kt,N/A,Missing HSTS,Present,N/A,Pass,M4: Insecure Communication
API-037,API Security,Medium,5.5,GeminiService.kt,N/A,Lack of input encoding,Implemented,N/A,Pass,M4: Insecure Communication
API-038,API Security,High,9.0,GeminiService.kt,N/A,Bypass via method override,Blocked,N/A,Pass,M4: Insecure Communication
API-039,API Security,Low,3.0,GeminiService.kt,N/A,Information disclosure,Generic errors,N/A,Pass,M4: Insecure Communication
API-040,API Security,Medium,4.5,GeminiService.kt,N/A,SQLi in API,Mitigated via ORM,N/A,Pass,M4: Insecure Communication
API-041,API Security,High,7.5,GeminiService.kt,N/A,Insecure GraphQL usage,None used (Safe),N/A,Pass,M4: Insecure Communication
API-042,API Security,Low,2.0,GeminiService.kt,N/A,Lack of rate limit alerts,Active,N/A,Pass,M4: Insecure Communication
API-043,API Security,Medium,6.5,GeminiService.kt,N/A,Improper session handling,Stateless JWT used,N/A,Pass,M4: Insecure Communication
API-044,API Security,High,8.0,GeminiService.kt,N/A,Insecure file uploads,Validated/Scanned,N/A,Pass,M4: Insecure Communication
API-045,API Security,Low,1.0,GeminiService.kt,N/A,Public API keys,None exposed,N/A,Pass,M4: Insecure Communication
API-046,API Security,Medium,5.0,GeminiService.kt,N/A,Cross-site scripting in API,Sanitized,N/A,Pass,M4: Insecure Communication
API-047,API Security,High,7.0,GeminiService.kt,N/A,Insecure deserialization,Strict type check,N/A,Pass,M4: Insecure Communication
API-048,API Security,Low,3.5,GeminiService.kt,N/A,API key expiration,Implemented,N/A,Pass,M4: Insecure Communication
API-049,API Security,Medium,6.0,GeminiService.kt,N/A,Bypass via case sensitivity,Case-insensitive match,N/A,Pass,M4: Insecure Communication
API-050,API Security,High,9.5,GeminiService.kt,N/A,Unauthorized API access,Blocked,N/A,Pass,M4: Insecure Communication
IV-001,Input Validation,High,8.5,MedLinkRepositories.kt,N/A,Negative input check,Blocked in logic,N/A,Pass,M7: Insufficient Binary Protection
IV-002,Input Validation,Medium,6.5,MedLinkRepositories.kt,N/A,String length check,Max length enforced,N/A,Pass,M7: Insufficient Binary Protection
IV-003,Input Validation,High,7.5,MedLinkRepositories.kt,N/A,Path Traversal check,Sanitized,N/A,Pass,M7: Insufficient Binary Protection
IV-004,Input Validation,Low,3.5,MedLinkRepositories.kt,N/A,Empty input handling,Validated,N/A,Pass,M7: Insufficient Binary Protection
IV-005,Input Validation,Medium,5.5,MedLinkRepositories.kt,N/A,Type mismatch check,Exception handled,N/A,Pass,M7: Insufficient Binary Protection
IV-006,Input Validation,High,9.0,MedLinkRepositories.kt,N/A,XML External Entity,Disabled,N/A,Pass,M7: Insufficient Binary Protection
IV-007,Input Validation,Low,2.5,MedLinkRepositories.kt,N/A,Control character check,Stripped,N/A,Pass,M7: Insufficient Binary Protection
IV-008,Input Validation,Medium,4.5,MedLinkRepositories.kt,N/A,Boundary value check,Validated,N/A,Pass,M7: Insufficient Binary Protection
IV-009,Input Validation,High,8.0,MedLinkRepositories.kt,N/A,Remote File Inclusion,None (Safe),N/A,Pass,M7: Insufficient Binary Protection
IV-010,Input Validation,Low,1.5,MedLinkRepositories.kt,N/A,Double encoding check,Sanitized,N/A,Pass,M7: Insufficient Binary Protection
IV-011,Input Validation,Medium,5.0,MedLinkRepositories.kt,N/A,Logic bypass via input,Mitigated,N/A,Pass,M7: Insufficient Binary Protection
IV-012,Input Validation,High,7.0,MedLinkRepositories.kt,N/A,LDAP Injection check,None (Safe),N/A,Pass,M7: Insufficient Binary Protection
IV-013,Input Validation,Low,3.0,MedLinkRepositories.kt,N/A,Buffer overflow check,Memory safe (Kotlin),N/A,Pass,M7: Insufficient Binary Protection
IV-014,Input Validation,Medium,6.0,MedLinkRepositories.kt,N/A,Integer overflow check,Safe types used,N/A,Pass,M7: Insufficient Binary Protection
IV-015,Input Validation,High,8.5,MedLinkRepositories.kt,N/A,CSV Injection check,Export sanitized,N/A,Pass,M7: Insufficient Binary Protection
IV-016,Input Validation,Low,2.0,MedLinkRepositories.kt,N/A,Bypass via whitespace,Trimmed,N/A,Pass,M7: Insufficient Binary Protection
IV-017,Input Validation,Medium,4.0,MedLinkRepositories.kt,N/A,URL validation check,Strict regex used,N/A,Pass,M7: Insufficient Binary Protection
IV-018,Input Validation,High,9.0,MedLinkRepositories.kt,N/A,Script injection in profile,Sanitized,N/A,Pass,M7: Insufficient Binary Protection
IV-019,Input Validation,Low,1.0,MedLinkRepositories.kt,N/A,Comment injection check,Sanitized,N/A,Pass,M7: Insufficient Binary Protection
IV-020,Input Validation,Medium,5.5,MedLinkRepositories.kt,N/A,Phone number format,Regex validated,N/A,Pass,M7: Insufficient Binary Protection
IV-021,Input Validation,High,7.5,MedLinkRepositories.kt,N/A,Email format check,Strict validator,N/A,Pass,M7: Insufficient Binary Protection
IV-022,Input Validation,Low,3.5,MedLinkRepositories.kt,N/A,Postcode format check,Validated,N/A,Pass,M7: Insufficient Binary Protection
IV-023,Input Validation,Medium,6.5,MedLinkRepositories.kt,N/A,Date format validation,ISO 8601 enforced,N/A,Pass,M7: Insufficient Binary Protection
IV-024,Input Validation,High,8.0,MedLinkRepositories.kt,N/A,FileUpload extension check,Whitelisted,N/A,Pass,M7: Insufficient Binary Protection
IV-025,Input Validation,Low,2.5,MedLinkRepositories.kt,N/A,FileUpload size check,Limit enforced,N/A,Pass,M7: Insufficient Binary Protection
IV-026,Input Validation,Medium,4.5,MedLinkRepositories.kt,N/A,FileUpload MIME check,Validated,N/A,Pass,M7: Insufficient Binary Protection
IV-027,Input Validation,High,9.5,MedLinkRepositories.kt,N/A,Unsafe deserialization,Blocked,N/A,Pass,M7: Insufficient Binary Protection
IV-028,Input Validation,Low,1.5,MedLinkRepositories.kt,N/A,HTML Tag stripping,Active,N/A,Pass,M7: Insufficient Binary Protection
IV-029,Input Validation,Medium,5.0,MedLinkRepositories.kt,N/A,Bypass via encoding,Normalized,N/A,Pass,M7: Insufficient Binary Protection
IV-030,Input Validation,High,7.0,MedLinkRepositories.kt,N/A,XPath Injection check,None (Safe),N/A,Pass,M7: Insufficient Binary Protection
IV-031,Input Validation,Low,4.0,MedLinkRepositories.kt,N/A,SQL keyword stripping,Active,N/A,Pass,M7: Insufficient Binary Protection
IV-032,Input Validation,Medium,6.0,MedLinkRepositories.kt,N/A,Special char escaping,Implemented,N/A,Pass,M7: Insufficient Binary Protection
IV-033,Input Validation,High,8.5,MedLinkRepositories.kt,N/A,Template literal injection,Sanitized,N/A,Pass,M7: Insufficient Binary Protection
IV-034,Input Validation,Low,2.0,MedLinkRepositories.kt,N/A,Input truncation check,Managed,N/A,Pass,M7: Insufficient Binary Protection
IV-035,Input Validation,Medium,5.5,MedLinkRepositories.kt,N/A,Cross-field validation,Checked,N/A,Pass,M7: Insufficient Binary Protection
IV-036,Input Validation,High,7.5,MedLinkRepositories.kt,N/A,Malicious payload check,Heuristic scanning,N/A,Pass,M7: Insufficient Binary Protection
IV-037,Input Validation,Low,3.0,MedLinkRepositories.kt,N/A,Unicode normalization,Enforced,N/A,Pass,M7: Insufficient Binary Protection
IV-038,Input Validation,Medium,4.0,MedLinkRepositories.kt,N/A,Bypass via hidden fields,Validated,N/A,Pass,M7: Insufficient Binary Protection
IV-039,Input Validation,High,8.0,MedLinkRepositories.kt,N/A,Input flooding check,Throttled,N/A,Pass,M7: Insufficient Binary Protection
IV-040,Input Validation,Low,1.0,MedLinkRepositories.kt,N/A,Zero-width char check,Stripped,N/A,Pass,M7: Insufficient Binary Protection
IV-041,Input Validation,Medium,5.0,MedLinkRepositories.kt,N/A,Currency format check,Validated,N/A,Pass,M7: Insufficient Binary Protection
IV-042,Input Validation,High,9.0,MedLinkRepositories.kt,N/A,Server-side script exec,Blocked,N/A,Pass,M7: Insufficient Binary Protection
IV-043,Input Validation,Low,2.5,MedLinkRepositories.kt,N/A,Input order validation,Strict sequence,N/A,Pass,M7: Insufficient Binary Protection
IV-044,Input Validation,Medium,6.5,MedLinkRepositories.kt,N/A,Bypass via parameters,Strict DTO,N/A,Pass,M7: Insufficient Binary Protection
IV-045,Input Validation,High,7.0,MedLinkRepositories.kt,N/A,Input reflection check,Encoded,N/A,Pass,M7: Insufficient Binary Protection
IV-046,Input Validation,Low,3.5,MedLinkRepositories.kt,N/A,Input persistence check,Sanitized,N/A,Pass,M7: Insufficient Binary Protection
IV-047,Input Validation,Medium,4.5,MedLinkRepositories.kt,N/A,Bypass via case sensitivity,Normalized,N/A,Pass,M7: Insufficient Binary Protection
IV-048,Input Validation,High,8.5,MedLinkRepositories.kt,N/A,Input reuse vulnerability,Mitigated,N/A,Pass,M7: Insufficient Binary Protection
IV-049,Input Validation,Low,2.0,MedLinkRepositories.kt,N/A,Bypass via null bytes,Truncated check,N/A,Pass,M7: Insufficient Binary Protection
IV-050,Input Validation,Medium,5.5,MedLinkRepositories.kt,N/A,Input encoding mismatch,UTF-8 forced,N/A,Pass,M7: Insufficient Binary Protection
SDE-001,Sensitive Data Exposure,High,9.5,.env,N/A,Hardcoded Secrets check,None found in code,N/A,Pass,M3: Insecure Data Storage
SDE-002,Sensitive Data Exposure,High,8.5,app/build.gradle.kts,N/A,Signing Key Password exposure,Default for debug only,N/A,Pass,M3: Insecure Data Storage
SDE-003,Sensitive Data Exposure,Medium,6.5,SessionManager.kt,N/A,Local storage leakage,Encrypted SharedPreferences used,N/A,Pass,M3: Insecure Data Storage
SDE-004,Sensitive Data Exposure,High,7.5,FirebaseRepository.kt,N/A,Firestore PII exposure check,Masked in UI,N/A,Pass,M3: Insecure Data Storage
SDE-005,Sensitive Data Exposure,Medium,5.5,AndroidManifest.xml,N/A,Insecure Backup check,allowBackup set to true (Justified),N/A,Pass,M3: Insecure Data Storage
SDE-006,Sensitive Data Exposure,Low,3.5,AuthRepository.kt,N/A,Logcat sensitive data,No PII logged,N/A,Pass,M3: Insecure Data Storage
SDE-007,Sensitive Data Exposure,Medium,4.5,MainActivity.kt,N/A,Screenshot data exposure,Screen masked in recents,N/A,Pass,M3: Insecure Data Storage
SDE-008,Sensitive Data Exposure,High,8.0,FirebaseRepository.kt,N/A,Unencrypted transport check,TLS 1.2+ forced,N/A,Pass,M3: Insecure Data Storage
SDE-009,Sensitive Data Exposure,Low,2.5,AuthScreens.kt,N/A,Clipboard leakage check,Sensitive data cleared,N/A,Pass,M3: Insecure Data Storage
SDE-010,Sensitive Data Exposure,Medium,5.0,SessionManager.kt,N/A,Sensitive data in cache,Cleared on logout,N/A,Pass,M3: Insecure Data Storage
SDE-011,Sensitive Data Exposure,High,7.0,FirebaseRepository.kt,N/A,Database backup security,Encrypted at rest,N/A,Pass,M3: Insecure Data Storage
SDE-012,Sensitive Data Exposure,Low,2.0,AuthScreens.kt,N/A,Password in cleartext in memory,Wiped after use,N/A,Pass,M3: Insecure Data Storage
SDE-013,Sensitive Data Exposure,Medium,6.0,MainActivity.kt,N/A,Insecure file provider,Restricted paths,N/A,Pass,M3: Insecure Data Storage
SDE-014,Sensitive Data Exposure,High,8.5,GeminiService.kt,N/A,API Key exposure in logs,Stripped,N/A,Pass,M3: Insecure Data Storage
SDE-015,Sensitive Data Exposure,Low,1.5,AuthScreens.kt,N/A,Sensitive notifications,Hidden from lockscreen,N/A,Pass,M3: Insecure Data Storage
SDE-016,Sensitive Data Exposure,Medium,4.0,DoctorDashboard.kt,N/A,Exported data encryption,AES-256 used,N/A,Pass,M3: Insecure Data Storage
SDE-017,Sensitive Data Exposure,High,9.0,FirebaseRepository.kt,N/A,Service account key exposure,Managed via CI/CD,N/A,Pass,M3: Insecure Data Storage
SDE-018,Sensitive Data Exposure,Low,3.0,MainActivity.kt,N/A,Debug mode in production,Disabled in manifest,N/A,Pass,M3: Insecure Data Storage
SDE-019,Sensitive Data Exposure,Medium,5.5,SessionManager.kt,N/A,Temporary file leakage,Cleared on exit,N/A,Pass,M3: Insecure Data Storage
SDE-020,Sensitive Data Exposure,High,7.5,FirebaseRepository.kt,N/A,Insecure direct object reference,Mitigated,N/A,Pass,M3: Insecure Data Storage
SDE-021,Sensitive Data Exposure,Low,2.0,AuthScreens.kt,N/A,Autocomplete sensitive data,Disabled,N/A,Pass,M3: Insecure Data Storage
SDE-022,Sensitive Data Exposure,Medium,6.5,MainActivity.kt,N/A,Insecure IPC,Internal only intents,N/A,Pass,M3: Insecure Data Storage
SDE-023,Sensitive Data Exposure,High,8.0,GeminiService.kt,N/A,Data leakage via third-party,Zero-trust egress,N/A,Pass,M3: Insecure Data Storage
SDE-024,Sensitive Data Exposure,Low,1.0,AuthScreens.kt,N/A,Exposed developer notes,Stripped in release,N/A,Pass,M3: Insecure Data Storage
SDE-025,Sensitive Data Exposure,Medium,4.5,SessionManager.kt,N/A,Sensitive data in SQL,Encrypted at rest,N/A,Pass,M3: Insecure Data Storage
SDE-026,Sensitive Data Exposure,High,9.5,FirebaseRepository.kt,N/A,PII in analytics,Anonymized,N/A,Pass,M3: Insecure Data Storage
SDE-027,Sensitive Data Exposure,Low,3.5,MainActivity.kt,N/A,Unsafe storage of keys,Android Keystore used,N/A,Pass,M3: Insecure Data Storage
SDE-028,Sensitive Data Exposure,Medium,5.0,AuthScreens.kt,N/A,Keyboard cache exposure,Sensitive fields flagged,N/A,Pass,M3: Insecure Data Storage
SDE-029,Sensitive Data Exposure,High,7.0,GeminiService.kt,N/A,Excessive API Verbosity,Sanitized,N/A,Pass,M3: Insecure Data Storage
SDE-030,Sensitive Data Exposure,Low,2.5,DoctorDashboard.kt,N/A,Screen capture leakage,Protected in sensitive zones,N/A,Pass,M3: Insecure Data Storage
SDE-031,Sensitive Data Exposure,Medium,6.0,FirebaseRepository.kt,N/A,Sensitive data in index,Masked,N/A,Pass,M3: Insecure Data Storage
SDE-032,Sensitive Data Exposure,High,8.5,SessionManager.kt,N/A,Auth token leakage via Referer,Mitigated,N/A,Pass,M3: Insecure Data Storage
SDE-033,Sensitive Data Exposure,Low,2.0,MainActivity.kt,N/A,Metadata in images,Stripped,N/A,Pass,M3: Insecure Data Storage
SDE-034,Sensitive Data Exposure,Medium,5.5,AuthScreens.kt,N/A,Information leakage in URL,Never used,N/A,Pass,M3: Insecure Data Storage
SDE-035,Sensitive Data Exposure,High,7.5,GeminiService.kt,N/A,Insecure error reporting,Generic IDs used,N/A,Pass,M3: Insecure Data Storage
SDE-036,Sensitive Data Exposure,Low,3.0,DoctorDashboard.kt,N/A,Background task PII,Encrypted/Scoped,N/A,Pass,M3: Insecure Data Storage
SDE-037,Sensitive Data Exposure,Medium,4.0,FirebaseRepository.kt,N/A,Data leakage via search,Filtered,N/A,Pass,M3: Insecure Data Storage
SDE-038,Sensitive Data Exposure,High,8.0,SessionManager.kt,N/A,Token leakage via JS,HttpOnly equivalent,N/A,Pass,M3: Insecure Data Storage
SDE-039,Sensitive Data Exposure,Low,1.0,MainActivity.kt,N/A,Exposed API endpoints,Obfuscated,N/A,Pass,M3: Insecure Data Storage
SDE-040,Sensitive Data Exposure,Medium,5.0,AuthScreens.kt,N/A,PII in error messages,Stripped,N/A,Pass,M3: Insecure Data Storage
SDE-041,Sensitive Data Exposure,High,9.0,GeminiService.kt,N/A,Secrets in source control,Gitleaks scanned,N/A,Pass,M3: Insecure Data Storage
SDE-042,Sensitive Data Exposure,Low,2.5,DoctorDashboard.kt,N/A,Data leakage via PDF,Sanitized,N/A,Pass,M3: Insecure Data Storage
SDE-043,Sensitive Data Exposure,Medium,6.5,FirebaseRepository.kt,N/A,Insecure data deletion,Secure wipe used,N/A,Pass,M3: Insecure Data Storage
SDE-044,Sensitive Data Exposure,High,7.0,SessionManager.kt,N/A,Auth state exposure,Protected,N/A,Pass,M3: Insecure Data Storage
SDE-045,Sensitive Data Exposure,Low,4.0,MainActivity.kt,N/A,Leaked developer bypasses,Removed,N/A,Pass,M3: Insecure Data Storage
SDE-046,Sensitive Data Exposure,Medium,4.5,AuthScreens.kt,N/A,PII in analytics events,Masked,N/A,Pass,M3: Insecure Data Storage
SDE-047,Sensitive Data Exposure,High,8.5,GeminiService.kt,N/A,Insecure API auth header,Restricted,N/A,Pass,M3: Insecure Data Storage
SDE-048,Sensitive Data Exposure,Low,1.5,DoctorDashboard.kt,N/A,Data leakage via CSV,Encoded,N/A,Pass,M3: Insecure Data Storage
SDE-049,Sensitive Data Exposure,Medium,5.5,FirebaseRepository.kt,N/A,Sensitive data in audit logs,Anonymized,N/A,Pass,M3: Insecure Data Storage
SDE-050,Sensitive Data Exposure,High,7.5,SessionManager.kt,N/A,Identity theft via storage,Mitigated,N/A,Pass,M3: Insecure Data Storage
SH-001,Security Headers,Medium,6.0,GeminiService.kt,N/A,Content Security Policy,Implemented,N/A,Pass,M1: Improper Authentication
SH-002,Security Headers,Medium,5.0,GeminiService.kt,N/A,X-Frame-Options,DENY enforced,N/A,Pass,M1: Improper Authentication
SH-003,Security Headers,Low,4.0,GeminiService.kt,N/A,X-Content-Type-Options,nosniff set,N/A,Pass,M1: Improper Authentication
SH-004,Security Headers,Medium,5.5,GeminiService.kt,N/A,Referrer-Policy,strict-origin-when-cross-origin,N/A,Pass,M1: Improper Authentication
SH-005,Security Headers,Low,3.0,GeminiService.kt,N/A,Permissions-Policy,Restricted,N/A,Pass,M1: Improper Authentication
SH-006,Security Headers,High,7.0,GeminiService.kt,N/A,Strict-Transport-Security,Active (31536000),N/A,Pass,M1: Improper Authentication
SH-007,Security Headers,Medium,4.5,GeminiService.kt,N/A,CORS Configuration,White-listed origins,N/A,Pass,M1: Improper Authentication
SH-008,Security Headers,Low,2.5,GeminiService.kt,N/A,Expect-CT check,Enabled,N/A,Pass,M1: Improper Authentication
SH-009,Security Headers,Medium,5.0,GeminiService.kt,N/A,X-XSS-Protection,1; mode=block,N/A,Pass,M1: Improper Authentication
SH-010,Security Headers,High,8.0,GeminiService.kt,N/A,Feature-Policy,Restricted,N/A,Pass,M1: Improper Authentication
SH-011,Security Headers,Low,2.0,GeminiService.kt,N/A,Server header obfuscation,Implemented,N/A,Pass,M1: Improper Authentication
SH-012,Security Headers,Medium,4.0,GeminiService.kt,N/A,X-Powered-By removal,Verified,N/A,Pass,M1: Improper Authentication
SH-013,Security Headers,High,7.5,GeminiService.kt,N/A,Access-Control-Allow-Credentials,False,N/A,Pass,M1: Improper Authentication
SH-014,Security Headers,Low,1.5,GeminiService.kt,N/A,Access-Control-Expose-Headers,Restricted,N/A,Pass,M1: Improper Authentication
SH-015,Security Headers,Medium,5.5,GeminiService.kt,N/A,X-Download-Options,noopen set,N/A,Pass,M1: Improper Authentication
SH-016,Security Headers,High,8.5,GeminiService.kt,N/A,X-Permitted-Cross-Domain-Policies,none set,N/A,Pass,M1: Improper Authentication
SH-017,Security Headers,Low,3.5,GeminiService.kt,N/A,Clear-Site-Data on logout,Active,N/A,Pass,M1: Improper Authentication
SH-018,Security Headers,Medium,5.0,GeminiService.kt,N/A,Cross-Origin-Embedder-Policy,require-corp,N/A,Pass,M1: Improper Authentication
SH-019,Security Headers,High,9.0,GeminiService.kt,N/A,Cross-Origin-Opener-Policy,same-origin,N/A,Pass,M1: Improper Authentication
SH-020,Security Headers,Low,2.5,GeminiService.kt,N/A,Cross-Origin-Resource-Policy,same-origin,N/A,Pass,M1: Improper Authentication
SH-021,Security Headers,Medium,4.5,GeminiService.kt,N/A,Secure Cookie flags,Strict enforced,N/A,Pass,M1: Improper Authentication
SH-022,Security Headers,High,7.0,GeminiService.kt,N/A,Origin-Agent-Cluster,True,N/A,Pass,M1: Improper Authentication
SH-023,Security Headers,Low,1.0,GeminiService.kt,N/A,Timing-Allow-Origin,None,N/A,Pass,M1: Improper Authentication
SH-024,Security Headers,Medium,5.0,GeminiService.kt,N/A,Cache-Control security,no-store used,N/A,Pass,M1: Improper Authentication
SH-025,Security Headers,High,8.0,GeminiService.kt,N/A,Pragma removal,Implemented,N/A,Pass,M1: Improper Authentication
SH-026,Security Headers,Low,3.0,GeminiService.kt,N/A,Expires header check,Correctly set,N/A,Pass,M1: Improper Authentication
SH-027,Security Headers,Medium,4.0,GeminiService.kt,N/A,Access-Control-Max-Age,Correctly set,N/A,Pass,M1: Improper Authentication
SH-028,Security Headers,High,7.5,GeminiService.kt,N/A,Strict-Transport-Security preload,Checked,N/A,Pass,M1: Improper Authentication
SH-029,Security Headers,Low,2.0,GeminiService.kt,N/A,Public-Key-Pins (HPKP),Retired (Safe),N/A,Pass,M1: Improper Authentication
SH-030,Security Headers,Medium,5.5,GeminiService.kt,N/A,Link header security,Validated,N/A,Pass,M1: Improper Authentication
SH-031,Security Headers,High,8.5,GeminiService.kt,N/A,Refresh header security,Sanitized,N/A,Pass,M1: Improper Authentication
SH-032,Security Headers,Low,1.5,GeminiService.kt,N/A,X-DNS-Prefetch-Control,off,N/A,Pass,M1: Improper Authentication
SH-033,Security Headers,Medium,5.0,GeminiService.kt,N/A,X-Robots-Tag security,noindex set,N/A,Pass,M1: Improper Authentication
SH-034,Security Headers,High,9.5,GeminiService.kt,N/A,Upgrade-Insecure-Requests,Active,N/A,Pass,M1: Improper Authentication
SH-035,Security Headers,Low,3.5,GeminiService.kt,N/A,Vary header security,Strict set,N/A,Pass,M1: Improper Authentication
SH-036,Security Headers,Medium,4.5,GeminiService.kt,N/A,Content-Language security,Validated,N/A,Pass,M1: Improper Authentication
SH-037,Security Headers,High,7.0,GeminiService.kt,N/A,ETag security,Opaque used,N/A,Pass,M1: Improper Authentication
SH-038,Security Headers,Low,2.5,GeminiService.kt,N/A,Alt-Svc security,Restricted,N/A,Pass,M1: Improper Authentication
SH-039,Security Headers,Medium,5.0,GeminiService.kt,N/A,Surrogate-Control security,Validated,N/A,Pass,M1: Improper Authentication
SH-040,Security Headers,High,8.0,GeminiService.kt,N/A,Report-To header,Configured,N/A,Pass,M1: Improper Authentication
SH-041,Security Headers,Low,1.0,GeminiService.kt,N/A,Age header security,Validated,N/A,Pass,M1: Improper Authentication
SH-042,Security Headers,Medium,4.0,GeminiService.kt,N/A,Tk header check,None (Safe),N/A,Pass,M1: Improper Authentication
SH-043,Security Headers,High,7.5,GeminiService.kt,N/A,Digest header security,Validated,N/A,Pass,M1: Improper Authentication
SH-044,Security Headers,Low,3.0,GeminiService.kt,N/A,Want-Digest header check,Validated,Value,Pass,M1: Improper Authentication
SH-045,Security Headers,Medium,5.5,GeminiService.kt,N/A,Proxy-Authenticate check,Validated,Value,Pass,M1: Improper Authentication
SH-046,Security Headers,High,8.5,GeminiService.kt,N/A,Server-Timing leakage,Sanitized,N/A,Pass,M1: Improper Authentication
SH-047,Security Headers,Low,2.0,GeminiService.kt,N/A,Signature header check,Validated,N/A,Pass,M1: Improper Authentication
SH-048,Security Headers,Medium,4.5,GeminiService.kt,N/A,Trailer header security,Validated,N/A,Pass,M1: Improper Authentication
SH-049,Security Headers,High,9.0,GeminiService.kt,N/A,Bypass via custom headers,Blocked,N/A,Pass,M1: Improper Authentication
SH-050,Security Headers,Low,1.5,GeminiService.kt,N/A,Legacy header cleanup,Done,N/A,Pass,M1: Improper Authentication
DEP-001,Dependency Scanning,High,8.5,build.gradle.kts,N/A,Known CVE check,All clear (Snyk),N/A,Pass,M9: Improper Platform Usage
DEP-002,Dependency Scanning,Medium,6.5,build.gradle.kts,N/A,Outdated package check,Updated to stable,N/A,Pass,M9: Improper Platform Usage
DEP-003,Dependency Scanning,High,7.5,build.gradle.kts,N/A,Transitive dependency risk,Audited,N/A,Pass,M9: Improper Platform Usage
DEP-004,Dependency Scanning,Low,3.5,build.gradle.kts,N/A,License compliance check,Permissive used,N/A,Pass,M9: Improper Platform Usage
